"Astoria-Long Island City","0.2755"
"Auburndale","0.1309"
"Battery Park","0.0000"
"Bay Ridge","0.0716"
"Baychester","1.8625"
"Bedford Park","5.4376"
"Bedford-Stuyvesant","0.2429"
"Bensonhurst","0.0358"
"Boerum Hill","0.0741"
"Borough Park","0.0555"
"Brownsville","0.1921"
"Bushwick","0.1641"
"Canarsie","0.0958"
"Carnegie Hill","0.0031"
"Carroll Gardens","0.0504"
"Central Park","0.0005"
"Chelsea","0.0000"
"Chinatown","0.0000"
"City Island","0.4706"
"Clearview","0.0923"
"Clinton","0.0000"
"Cobble Hill","0.1069"
"Corona","0.0027"
"Country Club","1.7986"
"Douglastown-Little Neck","0.1600"
"Downtown","0.0806"
"Dyker Heights","0.0423"
"East Brooklyn","0.1666"
"East Harlem","0.2814"
"East Village","0.0000"
"Financial District","0.0000"
"Flatbush","0.0187"
"Flushing","1.0334"
"Fordham","10.7209"
"Forest Hills","1.4239"
"Fort Green","0.1275"
"Garment District","0.0000"
"Glendale","0.1347"
"Gramercy","0.0000"
"Gravesend-Sheepshead Bay","0.9883"
"Greenwich Village","0.0000"
"Greenwood","0.0841"
"Hamilton Heights","0.3276"
"Harlem","0.4066"
"High Bridge","2.4069"
"Hunts Point","1.0694"
"Inwood","2.8898"
"Jackson Heights","0.9123"
"Jamaica","0.2676"
"Kings Bridge","3.9411"
"Laurelton","0.0284"
"Little Italy","0.0000"
"Lower East Side","0.0000"
"Mapleton-Flatlands","0.0716"
"Maspeth","0.1070"
"Middle Village","0.1583"
"Midtown","0.0000"
"Morningside Heights","0.1826"
"Morris Heights","1.1926"
"Morris Park","3.6185"
"Mott Haven","0.7159"
"Murray Hill","0.0000"
"Nkew Gardens","1.5322"
"North Sutton Area","0.0000"
"Park Slope","0.1201"
"Parkchester","1.2615"
"Queens Village","0.1528"
"Queensboro Hill","0.1060"
"Ridgewood","0.0949"
"Riverdale","0.6265"
"Saintalbans","0.1602"
"Soho","0.0000"
"Soundview","1.3027"
"South Bronx","2.4820"
"Springfield Gardens","0.0102"
"Spuyten Duyvil","0.4832"
"Sunny Side","0.1089"
"Sunset Park","0.0952"
"The Rockaways","0.0617"
"Throggs Neck","0.8600"
"Tremont","4.9393"
"Tribeca","0.0000"
"Union Port","2.2611"
"University Heights","5.7821"
"UNKNOWN","0.0304"
"Upper East Side","0.0001"
"Upper West Side","0.0003"
"Utopia","0.3106"
"Wakefield-Williamsbridge","2.6972"
"Washington Heights","0.8874"
"West Village","0.0000"
"Williams Bridge","2.7820"
"Williamsburg","0.1034"
"Woodhaven-Richmond Hill","0.4385"
"Woodlawn-Nordwood","0.3638"
"Woodside","0.4550"
"Yorkville","0.1276"
